AllPara,isExist1,Pass1,Score_1,isExist2,isExist3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_20_0.75_100_10.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_12.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_14.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_16.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_18.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_20.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_4.csv,Y,No,1.404412192074668,N,N,N,,,Y,No,1.1471730614497844,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_6.csv,Y,No,1.2010346063793147,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_0.75_100_8.csv,Y,No,1.2010346063793147,N,N,N,,,Y,No,1.142095071987589,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_10.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_12.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_14.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_16.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_18.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_20.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_4.csv,Y,No,1.1406802959012503,N,N,N,,,Y,No,1.2882359352424642,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_6.csv,Y,No,0.8630125969053428,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_0.75_150_8.csv,Y,No,0.8630125969053428,N,N,N,,,Y,No,1.1685400266592194,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_10.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_75_12.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_75_14.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_75_16.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_75_18.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_75_20.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_75_8.csv,Y,No,0.7190107079654363,N,N,N,,,Y,Yes,1.9797074639699326,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_10.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_12.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_14.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_16.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_18.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_20.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_1_75_8.csv,Y,No,0.687565528188792,N,N,N,,,Y,Yes,2.1407375946017893,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_10.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_12.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_14.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_16.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_18.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_20.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_4.csv,Y,No,1.1009312331649828,N,N,N,,,Y,Yes,1.9791748055701381,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_125_6.csv,Y,No,0.9025945470573317,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_0.75_125_8.csv,Y,No,0.9025945470573317,N,N,N,,,Y,Yes,1.8173775766779634,N,,,N,2,1,0.2857142857142857,0.5
1_80_1.75_150_10.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_12.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_14.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_16.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_18.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_20.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_4.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_6.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_80_1.75_150_8.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_10.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_12.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_14.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_16.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_18.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_20.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_4.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_6.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_80_1.75_150_8.csv,Y,No,1.4992124395709638,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_0.75_50_10.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_50_12.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_50_14.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_50_16.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_50_18.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_50_20.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
2_20_0.75_50_8.csv,Y,No,0.6234279302503718,N,N,N,,,Y,Yes,2.420375702575202,N,,,N,2,1,0.2857142857142857,0.5
1_100_1.75_150_10.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_12.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_14.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_16.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_18.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_20.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_4.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_6.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
1_100_1.75_150_8.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_10.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_12.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_14.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_16.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_18.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_20.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_4.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_6.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
3_100_1.75_150_8.csv,Y,No,1.0496830327545237,N,N,N,,,Y,No,0.07038091808005673,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_10.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_12.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_14.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_16.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_18.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_20.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_6.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8127220911131584,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_8.csv,Y,No,0.7372254084559566,N,N,N,,,Y,No,0.8300482262794644,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_10.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_12.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_14.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_16.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_18.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_20.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_4.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,1.0160889895561513,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_6.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
1_20_0.75_50_8.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_10.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_12.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_14.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_16.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_18.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_20.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_4.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,1.0160889895561513,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_6.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
3_20_0.75_50_8.csv,Y,No,1.0298781563081094,N,N,N,,,Y,No,0.9791821766522418,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_150_4.csv,Y,No,0.8573184399258863,N,N,N,,,Y,No,0.7614623744089594,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_6.csv,Y,No,0.6431848380423116,N,N,N,,,Y,Yes,1.718285238192254,N,,,N,2,1,0.2857142857142857,0.5
2_20_1.25_125_4.csv,Y,No,0.9049978734020273,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_1_75_6.csv,Y,No,0.5969600877525617,N,N,N,,,Y,Yes,2.2981427058356583,N,,,N,2,1,0.2857142857142857,0.5
1_40_0.75_150_10.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_12.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_14.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_16.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_18.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_20.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_4.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_6.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
1_40_0.75_150_8.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_10.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_12.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_14.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_16.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_18.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_20.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_4.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_6.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
3_40_0.75_150_8.csv,Y,No,1.1877661275558458,N,N,N,,,Y,No,0.8513982485801581,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_4.csv,Y,No,0.7677208218313111,N,N,N,,,Y,Yes,2.004396059293107,N,,,N,2,1,0.2857142857142857,0.5
2_80_1.75_150_4.csv,Y,No,0.4938629918935193,N,N,N,,,Y,No,0.9994665893277919,N,,,N,2,0,0.2857142857142857,0.0
1_120_1.75_150_10.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_12.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_14.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_16.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_18.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_20.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_4.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_6.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_120_1.75_150_8.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_120_1.75_150_10.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_120_1.75_150_12.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_120_1.75_150_14.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_120_1.75_150_16.csv,Y,No,0.8907153844625054,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
