AllPara,isExist1,Pass1,Score_1,isExist2,isExist3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_20_0.75_100_10.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_12.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_14.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_16.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_18.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_20.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_4.csv,Y,No,0.2527779325705964,N,N,N,,,Y,No,0.13676391913317087,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_100_6.csv,Y,No,-0.0600184688914859,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_0.75_100_8.csv,Y,No,-0.0600184688914859,N,N,N,,,Y,No,0.09929544047378486,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_10.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_12.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_14.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_16.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_18.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_20.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_4.csv,Y,No,-0.2519448832762319,N,N,N,,,Y,No,0.1131006902242507,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_150_6.csv,Y,No,-0.5265162811883469,N,N,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_0.75_150_8.csv,Y,No,-0.5265162811883469,N,N,N,,,Y,No,0.0309244544708487,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_10.csv,Y,No,-0.17332163979325854,N,N,N,,,Y,No,0.014992137907027126,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_12.csv,Y,No,-0.17332163979325854,N,N,N,,,Y,No,0.014992137907027126,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_14.csv,Y,No,-0.17332163979325854,N,N,N,,,Y,No,0.014992137907027126,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_16.csv,Y,No,-0.17332163979325854,N,N,N,,,Y,No,0.014992137907027126,N,,,N,2,0,0.2857142857142857,0.0
2_20_0.75_75_18.csv,Y,No,-0.17332163979325854,N,N,N,,,Y,No,0.014992137907027126,N,,,N,2,0,0.2857142857142857,0.0
