AllPara,isExist1,Pass1,isExist2,isExist3,isExist4,Pass4,isExist5,Pass5,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_20_0.75_150_10.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_150_12.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_150_14.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_150_16.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_150_18.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_150_20.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_150_4.csv,Y,No,N,N,Y,Yes,N,,2,1,0.4,0.5
2_20_0.75_150_6.csv,Y,No,N,N,Y,Yes,N,,2,1,0.4,0.5
2_20_0.75_150_8.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_10.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_12.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_14.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_16.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_18.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_20.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_4.csv,Y,No,N,N,Y,Yes,N,,2,1,0.4,0.5
2_20_0.75_100_6.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_100_8.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_10.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_12.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_14.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_16.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_18.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_20.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_4.csv,Y,Yes,N,N,Y,Yes,N,,2,2,0.4,1.0
2_20_0.75_125_6.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
2_20_0.75_125_8.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_10.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_12.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_14.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_16.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_18.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_20.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_4.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_6.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_100_1.75_150_8.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_10.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_12.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_14.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_16.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_18.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_20.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_4.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_6.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
3_100_1.75_150_8.csv,Y,No,N,N,N,,N,,1,0,0.2,0.0
1_80_1.75_150_10.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_12.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_14.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_16.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_18.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_20.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_4.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_6.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
1_80_1.75_150_8.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_10.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_12.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_14.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_16.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_18.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_20.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_4.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_6.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
3_80_1.75_150_8.csv,Y,Yes,N,N,N,,N,,1,1,0.2,1.0
2_20_1_150_10.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_12.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_14.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_16.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_18.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_20.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_6.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
2_20_1_150_8.csv,Y,No,N,N,Y,No,N,,2,0,0.4,0.0
