AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_1.25_50_8.csv,Y,No,1.1224310489683063,N,,,Y,No,1.0254860543918347,N,,,Y,No,1.088381220471849,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_6.csv,Y,No,1.0854208681744144,N,,,Y,No,1.0289519572174735,N,,,Y,No,1.086793076998443,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_4.csv,Y,No,1.0710331734778737,N,,,Y,No,1.030000353201831,N,,,Y,No,1.1086494091796444,N,,,N,3,0,0.42857142857142855,0.0
2_60_1.25_50_4.csv,Y,No,1.1503203040609702,N,,,Y,No,1.0723931098497366,N,,,Y,No,1.1259952795696997,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_10.csv,Y,No,1.1138581923024737,N,,,Y,No,1.0254860553142322,N,,,Y,No,1.088381176694913,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_12.csv,Y,No,1.103528971701713,N,,,Y,No,1.0254860733055484,N,,,Y,No,1.0883811559506669,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_14.csv,Y,No,1.103528971701713,N,,,Y,No,1.0254860733055484,N,,,Y,No,1.0883811559506669,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_16.csv,Y,No,1.103528971701713,N,,,Y,No,1.0254860733055484,N,,,Y,No,1.0883811559506669,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_18.csv,Y,No,1.103528971701713,N,,,Y,No,1.0254860733055484,N,,,Y,No,1.0883811559506669,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_50_20.csv,Y,No,1.103528971701713,N,,,Y,No,1.0254860733055484,N,,,Y,No,1.0883811559506669,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.75_50_6.csv,Y,No,1.1122110662772846,N,,,Y,No,1.0124339849558972,N,,,Y,No,1.273642561703572,Y,No,1.0930412445716313,N,4,0,0.5714285714285714,0.0
2_40_1.25_75_8.csv,Y,No,1.0898642623544295,N,,,Y,No,1.043548618983414,N,,,Y,No,1.1001799366758696,N,,,N,3,0,0.42857142857142855,0.0
2_80_1.5_50_4.csv,Y,No,1.1438882879931191,N,,,N,,,N,,,Y,No,1.1616160536317053,N,,,N,2,0,0.2857142857142857,0.0
2_80_1.5_75_4.csv,Y,No,1.1438882879931191,N,,,N,,,N,,,Y,No,1.1616160536317053,N,,,N,2,0,0.2857142857142857,0.0
2_40_1.25_75_6.csv,Y,No,1.0503661768097616,N,,,Y,No,1.0483519698199022,N,,,Y,No,1.0987599522987674,N,,,N,3,0,0.42857142857142855,0.0
2_40_1.25_75_4.csv,Y,No,1.0335883543172641,N,,,Y,No,1.0498758085135285,N,,,Y,No,1.1225950910990818,N,,,N,3,0,0.42857142857142855,0.0
