AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_20_2_50_4.csv,Y,Yes,0.7926937653977634,Y,No,0.2939177238580187,N,,,N,,,N,,,N,,,N,2,1,0.2857142857142857,0.5
2_20_2_75_4.csv,Y,No,0.2642864755516697,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_1.75_50_8.csv,Y,No,-0.030686788078760147,N,,,Y,No,0.13628983164269506,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.75_50_10.csv,Y,No,-0.030686884640736354,N,,,Y,No,0.12648848459509354,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
1_20_1.25_50_10.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_12.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_14.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_16.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_18.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_20.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_4.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_6.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_1.25_50_8.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_10.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_12.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_14.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_16.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_18.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_20.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_4.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_6.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_1.25_50_8.csv,Y,No,0.10765877748059519,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
2_20_1.25_50_4.csv,Y,No,0.3181301912186971,N,,,Y,No,0.35963153063110076,Y,No,-0.1191288742612188,N,,,N,,,N,3,0,0.42857142857142855,0.0
2_20_1.25_50_10.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.1191288029132291,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_12.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.1191288029132291,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_14.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.1191288029132291,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_16.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.1191288029132291,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_18.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.1191288029132291,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_20.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.1191288029132291,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_8.csv,Y,No,0.1226533851446272,N,,,N,,,Y,No,-0.11912877268723611,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.75_50_12.csv,Y,No,-0.030686712556582472,N,,,Y,No,0.12648849998388575,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.75_50_14.csv,Y,No,-0.030686712556582472,N,,,Y,No,0.12648849998388575,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.75_50_16.csv,Y,No,-0.030686712556582472,N,,,Y,No,0.12648849998388575,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.75_50_18.csv,Y,No,-0.030686712556582472,N,,,Y,No,0.12648849998388575,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.75_50_20.csv,Y,No,-0.030686712556582472,N,,,Y,No,0.12648849998388575,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1_50_4.csv,Y,No,0.22454167722152407,N,,,Y,Yes,0.78218276794785,Y,No,-0.1045902977686413,N,,,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_20_1.75_50_4.csv,Y,No,0.17402807319713504,N,,,Y,No,0.04573252974433235,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.25_50_6.csv,Y,No,0.13412089951138492,N,,,Y,No,0.42356367535274314,Y,No,-0.11912885017616763,N,,,N,,,N,3,0,0.42857142857142855,0.0
2_20_1.5_50_8.csv,Y,No,0.18348223855229115,N,,,Y,No,0.18425734428656634,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.5_50_10.csv,Y,No,0.08101572094178057,N,,,Y,No,0.1736822899718967,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.5_50_12.csv,Y,No,0.08101572094178057,N,,,Y,No,0.1736822899718967,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.5_50_14.csv,Y,No,0.08101572094178057,N,,,Y,No,0.1736822899718967,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.5_50_16.csv,Y,No,0.08101572094178057,N,,,Y,No,0.1736822899718967,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.5_50_18.csv,Y,No,0.08101572094178057,N,,,Y,No,0.1736822899718967,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_1.5_50_20.csv,Y,No,0.08101572094178057,N,,,Y,No,0.1736822899718967,N,,,N,,,N,,,N,2,0,0.2857142857142857,0.0
2_20_2_50_10.csv,Y,No,0.434930516926181,Y,No,0.45688399667239477,Y,No,0.08863685353419436,N,,,N,,,N,,,N,3,0,0.42857142857142855,0.0
2_20_2_50_8.csv,Y,Yes,0.5045092096829593,Y,Yes,0.5108530456132511,Y,No,0.09781768673713014,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_60_1.5_50_6.csv,Y,Yes,0.6643084806033874,Y,Yes,0.5460984086122825,Y,Yes,0.5387777317519878,Y,Yes,0.6519759070551325,Y,Yes,0.5361354005801102,Y,No,-0.49894518809194727,N,6,5,0.8571428571428571,0.8333333333333334
