AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_1_50_4.csv,Y,Yes,0.562827300797737,Y,No,0.3842984404583987,Y,Yes,5.388328899533989,Y,No,-0.20051017134659757,N,N,,,N,,,N,,,N,4,2,0.4444444444444444,0.5
2_40_0.75_50_4.csv,Y,Yes,0.6616593003868134,Y,No,0.3536794492627992,Y,Yes,8.777393550133885,Y,No,-0.1356165319595777,N,N,,,N,,,N,,,N,4,2,0.4444444444444444,0.5
2_40_1_50_6.csv,Y,Yes,0.6730246353850665,Y,No,0.39775334099987975,Y,Yes,5.06836209983584,Y,No,-0.21032184498848303,N,N,,,N,,,N,,,N,4,2,0.4444444444444444,0.5
2_40_1_75_4.csv,Y,Yes,0.8970897669474209,Y,No,0.2700209278535165,N,,,Y,No,-0.19895204173096645,N,Y,No,-0.9599362198381772,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_8.csv,Y,Yes,0.932700780873208,Y,No,0.201866811336024,N,,,Y,No,-0.47791945241517336,N,Y,No,-0.07018435374621079,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_4.csv,Y,Yes,0.8358233856245564,Y,No,-0.20787660600139438,N,,,Y,No,-0.21087491809772274,N,Y,No,-0.46149643691760095,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_10.csv,Y,Yes,0.8857443005882734,Y,No,0.27875809128085705,N,,,Y,No,-0.3478689444948737,N,Y,No,-0.4228740214737448,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_0.75_50_6.csv,Y,Yes,0.8616652362811662,Y,Yes,0.5556584403310514,Y,Yes,4.755086486077209,Y,No,-0.2090445616774721,N,N,,,N,,,N,,,N,4,3,0.4444444444444444,0.75
2_40_1.5_50_10.csv,Y,Yes,1.2793205531380039,Y,No,0.21109126166791928,N,,,Y,No,-0.8112996635573159,N,Y,No,-0.06513512942235848,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_10.csv,Y,Yes,1.0386745871132093,Y,No,0.2018668358349156,N,,,Y,No,-0.4779195781077423,N,Y,No,-0.14282241595251494,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_12.csv,Y,Yes,1.0386745871132093,Y,No,0.2018668358349156,N,,,Y,No,-0.455356150926231,N,Y,No,-0.1428226295596707,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_14.csv,Y,Yes,1.0386745871132093,Y,No,0.2018668358349156,N,,,Y,No,-0.4645123284876514,N,Y,No,-0.14282266609577324,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_16.csv,Y,Yes,1.0386745871132093,Y,No,0.2018668358349156,N,,,Y,No,-0.4645123284876514,N,Y,No,-0.14282266609577324,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_18.csv,Y,Yes,1.0386745871132093,Y,No,0.2018668358349156,N,,,Y,No,-0.4645123284876514,N,Y,No,-0.14282266609577324,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_75_20.csv,Y,Yes,1.0386745871132093,Y,No,0.2018668358349156,N,,,Y,No,-0.4645123284876514,N,Y,No,-0.14282266609577324,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_75_10.csv,Y,Yes,1.365610240771994,Y,No,0.19270842507333028,N,,,Y,No,-0.6103451554433978,N,Y,No,-0.04615668354655621,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_75_12.csv,Y,Yes,1.2563670047446245,Y,No,0.2094649046104727,N,,,Y,No,-0.5897952949388522,N,Y,No,-0.047448096109820294,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_75_14.csv,Y,Yes,1.2563670047446245,Y,No,0.2094649046104727,N,,,Y,No,-0.5981345188281475,N,Y,No,-0.14164073879090977,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_75_16.csv,Y,Yes,1.2563670047446245,Y,No,0.2094649046104727,N,,,Y,No,-0.5981345188281475,N,Y,No,-0.14164073879090977,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_75_18.csv,Y,Yes,1.2563670047446245,Y,No,0.2094649046104727,N,,,Y,No,-0.5981345188281475,N,Y,No,-0.14164073879090977,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_75_20.csv,Y,Yes,1.2563670047446245,Y,No,0.2094649046104727,N,,,Y,No,-0.5981345188281475,N,Y,No,-0.14164073879090977,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_12.csv,Y,Yes,1.0056478904156543,Y,No,0.2787580059261801,N,,,Y,No,-0.34786874190298145,N,Y,No,-0.42287425286083224,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_14.csv,Y,Yes,1.0056478904156543,Y,No,0.2787580059261801,N,,,Y,No,-0.34786874190298145,N,Y,No,-0.42287425286083224,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_16.csv,Y,Yes,1.0056478904156543,Y,No,0.2787580059261801,N,,,Y,No,-0.34786874190298145,N,Y,No,-0.42287425286083224,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_18.csv,Y,Yes,1.0056478904156543,Y,No,0.2787580059261801,N,,,Y,No,-0.34786874190298145,N,Y,No,-0.42287425286083224,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_20.csv,Y,Yes,1.0056478904156543,Y,No,0.2787580059261801,N,,,Y,No,-0.34786874190298145,N,Y,No,-0.42287425286083224,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.75_50_12.csv,Y,Yes,1.3456548565253745,Y,No,0.3261177307151363,Y,Yes,1.5555182366196563,Y,No,-0.7585624916900923,N,Y,No,0.008337247845698111,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_50_14.csv,Y,Yes,1.3456548565253745,Y,No,0.3261177307151363,Y,Yes,1.5555182366196563,Y,No,-0.7585624916900923,N,Y,No,-0.10465690895725141,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_50_16.csv,Y,Yes,1.3456548565253745,Y,No,0.3261177307151363,Y,Yes,1.5555182366196563,Y,No,-0.7585624916900923,N,Y,No,-0.12519636667662945,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_50_18.csv,Y,Yes,1.3456548565253745,Y,No,0.3261177307151363,Y,Yes,1.5555182366196563,Y,No,-0.7585624916900923,N,Y,No,-0.12519636667662945,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_50_20.csv,Y,Yes,1.3456548565253745,Y,No,0.3261177307151363,Y,Yes,1.5555182366196563,Y,No,-0.7585624916900923,N,Y,No,-0.12519636667662945,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_75_12.csv,Y,Yes,1.365561398146676,Y,No,0.26974570018730365,Y,Yes,2.408676655137449,Y,No,-0.6642865248137222,N,Y,No,-0.09556645911524067,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_75_14.csv,Y,Yes,1.365561398146676,Y,No,0.26974570018730365,Y,Yes,2.408676655137449,Y,No,-0.6642865248137222,N,Y,No,-0.19898674391412857,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_75_16.csv,Y,Yes,1.365561398146676,Y,No,0.26974570018730365,Y,Yes,2.408676655137449,Y,No,-0.6642865248137222,N,Y,No,-0.23803825519955685,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_75_18.csv,Y,Yes,1.365561398146676,Y,No,0.26974570018730365,Y,Yes,2.408676655137449,Y,No,-0.6642865248137222,N,Y,No,-0.23803825519955685,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.75_75_20.csv,Y,Yes,1.365561398146676,Y,No,0.26974570018730365,Y,Yes,2.408676655137449,Y,No,-0.6642865248137222,N,Y,No,-0.23803825519955685,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.5_50_12.csv,Y,Yes,1.3363455728115559,Y,No,0.22973784930136149,N,,,Y,No,-0.774328924138139,N,Y,No,-0.06732579277754827,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_50_14.csv,Y,Yes,1.3363455728115559,Y,No,0.22973784930136149,N,,,Y,No,-0.789331429881899,N,Y,No,-0.1904102612850832,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_50_16.csv,Y,Yes,1.3363455728115559,Y,No,0.22973784930136149,N,,,Y,No,-0.789331429881899,N,Y,No,-0.1904102612850832,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_50_18.csv,Y,Yes,1.3363455728115559,Y,No,0.22973784930136149,N,,,Y,No,-0.789331429881899,N,Y,No,-0.1904102612850832,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.5_50_20.csv,Y,Yes,1.3363455728115559,Y,No,0.22973784930136149,N,,,Y,No,-0.789331429881899,N,Y,No,-0.1904102612850832,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1_50_8.csv,Y,Yes,1.0294244105802741,Y,No,0.27875809480292657,N,,,Y,No,-0.35148328593724065,N,Y,No,-0.42287422035762934,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_1.25_50_8.csv,Y,Yes,1.104492503443347,Y,No,0.21272826267329767,N,,,Y,No,-0.5610901462418902,N,Y,No,-0.07657198208412469,N,,,N,,,N,4,1,0.4444444444444444,0.25
2_40_0.75_50_10.csv,Y,Yes,1.0025382003872518,Y,No,0.3378136761340804,Y,Yes,5.8604478510242375,Y,No,-0.263809265725631,N,Y,No,-0.18242141556803906,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_0.75_50_12.csv,Y,Yes,1.0025382003872518,Y,No,0.3378136761340804,Y,Yes,5.8604478510242375,Y,No,-0.263809265725631,N,Y,No,-0.18242141556803906,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_0.75_50_14.csv,Y,Yes,1.0025382003872518,Y,No,0.3378136761340804,Y,Yes,5.8604478510242375,Y,No,-0.263809265725631,N,Y,No,-0.18242141556803906,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_0.75_50_16.csv,Y,Yes,1.0025382003872518,Y,No,0.3378136761340804,Y,Yes,5.8604478510242375,Y,No,-0.263809265725631,N,Y,No,-0.18242141556803906,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_0.75_50_18.csv,Y,Yes,1.0025382003872518,Y,No,0.3378136761340804,Y,Yes,5.8604478510242375,Y,No,-0.263809265725631,N,Y,No,-0.18242141556803906,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_0.75_50_20.csv,Y,Yes,1.0025382003872518,Y,No,0.3378136761340804,Y,Yes,5.8604478510242375,Y,No,-0.263809265725631,N,Y,No,-0.18242141556803906,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_0.75_50_8.csv,Y,Yes,1.0381142468455375,Y,No,0.33781367588085937,Y,Yes,5.860447312455851,Y,No,-0.2638092518191528,N,Y,No,-0.18242111057410235,N,,,N,,,N,5,2,0.5555555555555556,0.4
2_40_1.25_75_6.csv,Y,Yes,1.0062966605493202,Y,No,0.11442994754466129,N,,,Y,No,-0.34120207100609407,N,Y,No,-0.20918733115630953,N,,,N,,,N,4,1,0.4444444444444444,0.25
