AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_0.75_50_4.csv,Y,No,0.29398840294259376,Y,Yes,5.989385337647563,Y,No,-0.07549076049745906,N,,,N,,,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1_50_4.csv,Y,No,0.32912570212288694,Y,Yes,3.6807938529019824,Y,No,-0.10329720343341123,N,,,N,,,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_50_10.csv,Y,No,0.4318186652953374,Y,Yes,1.0378640254607832,Y,No,-0.46655185986328673,N,,,N,,,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_75_10.csv,Y,No,0.4922805390329403,Y,Yes,1.2405649437000006,Y,No,-0.4260144227503683,N,,,N,,,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_75_12.csv,Y,Yes,0.5307532189844988,Y,Yes,1.2405642850025702,Y,No,-0.40875712400404096,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.5_75_14.csv,Y,Yes,0.5307532189844988,Y,Yes,1.2405642850025702,Y,No,-0.41576017589454506,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.5_75_16.csv,Y,Yes,0.5307532189844988,Y,Yes,1.2405642850025702,Y,No,-0.41576017589454506,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.5_75_18.csv,Y,Yes,0.5307532189844988,Y,Yes,1.2405642850025702,Y,No,-0.41576017589454506,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.5_75_20.csv,Y,Yes,0.5307532189844988,Y,Yes,1.2405642850025702,Y,No,-0.41576017589454506,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_50_12.csv,Y,Yes,0.5812494977691933,Y,Yes,1.0048074961364788,Y,No,-0.48253939981247856,N,,,Y,No,0.14337254622397505,N,,,N,4,2,0.5714285714285714,0.5
2_40_1.75_50_14.csv,Y,Yes,0.5812494977691933,Y,Yes,1.0048074961364788,Y,No,-0.48253939981247856,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_50_16.csv,Y,Yes,0.5812494977691933,Y,Yes,1.0048074961364788,Y,No,-0.4950765939132526,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_50_18.csv,Y,Yes,0.5812494977691933,Y,Yes,1.0048074961364788,Y,No,-0.4950765939132526,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_50_20.csv,Y,Yes,0.5812494977691933,Y,Yes,1.0048074961364788,Y,No,-0.4950765939132526,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_75_12.csv,Y,Yes,0.5879708219871196,Y,Yes,1.11418140625842,Y,No,-0.4913604712421655,N,,,Y,No,0.031246949888005474,N,,,N,4,2,0.5714285714285714,0.5
2_40_1.75_75_14.csv,Y,Yes,0.5879708219871196,Y,Yes,1.11418140625842,Y,No,-0.4913604712421655,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_75_16.csv,Y,Yes,0.5879708219871196,Y,Yes,1.11418140625842,Y,No,-0.5014106528927461,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_75_18.csv,Y,Yes,0.5879708219871196,Y,Yes,1.11418140625842,Y,No,-0.5014106528927461,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.75_75_20.csv,Y,Yes,0.5879708219871196,Y,Yes,1.11418140625842,Y,No,-0.5014106528927461,N,,,N,,,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_40_1.25_75_8.csv,Y,No,0.47980740068810157,Y,Yes,1.5144200201346718,Y,No,-0.29997906001242586,N,,,Y,No,0.056799270658903084,N,,,N,4,1,0.5714285714285714,0.25
2_40_1_75_4.csv,Y,No,0.4664417069805343,Y,Yes,3.868969183917681,Y,No,-0.1141119171357119,N,,,N,,,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.75_50_10.csv,Y,Yes,0.5941798037942118,Y,Yes,1.004807189992549,Y,No,-0.4825395919432188,N,,,Y,No,0.09579216546469382,N,,,N,4,2,0.5714285714285714,0.5
2_40_1.75_75_10.csv,Y,Yes,0.601110762749712,Y,Yes,1.1141811578270473,Y,No,-0.49136028826704975,N,,,Y,No,-0.012262556424431699,N,,,N,4,2,0.5714285714285714,0.5
