AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_0.75_50_4.csv,Y,Yes,2.3726730655064814,Y,Yes,2.087823617979807,Y,No,1.0129784220860198,N,,,Y,Yes,3.470718125842139,Y,Yes,3.509903441316532,Y,Yes,1.8455392265265516,N,,,N,6,5,0.6666666666666666,0.8333333333333334
2_40_2_100_4.csv,Y,Yes,2.908583985964254,Y,Yes,1.8660809922142065,N,,,N,,,N,,,Y,No,1.128474604179012,N,,,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_20_1.75_50_4.csv,Y,No,1.2523898611654938,N,,,Y,Yes,2.779747194878912,Y,No,0.2616531659601131,N,,,Y,Yes,1.5542041883524342,N,,,N,,,N,4,2,0.4444444444444444,0.5
2_60_1.25_50_8.csv,Y,Yes,3.0430319165907425,Y,Yes,2.5159650494799624,N,,,N,,,N,,,Y,Yes,1.5569534226383055,Y,No,0.6237265289703497,N,,,N,4,3,0.4444444444444444,0.75
2_60_1.25_75_8.csv,Y,Yes,3.0430319165907425,Y,Yes,2.5159650494799624,N,,,N,,,N,,,Y,Yes,1.5569534226383055,Y,No,0.6237265289703497,N,,,N,4,3,0.4444444444444444,0.75
2_20_2_50_4.csv,Y,Yes,2.377053102132488,Y,Yes,1.5278478358046854,N,,,N,,,N,,,Y,No,0.8867708790388609,N,,,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_40_1_50_6.csv,Y,Yes,2.5433940246035323,Y,Yes,2.2282077707226615,N,,,N,,,N,,,Y,Yes,1.836665116320612,Y,No,0.8661189986062175,N,,,N,4,3,0.4444444444444444,0.75
2_40_1_50_8.csv,Y,Yes,2.470017378367578,Y,Yes,2.1401476854050108,N,,,N,,,N,,,Y,Yes,1.9430134770676972,Y,No,1.0315943696905905,N,,,N,4,3,0.4444444444444444,0.75
2_60_1.75_125_10.csv,Y,Yes,2.432352545815442,Y,Yes,1.836316684713141,N,,,N,,,N,,,Y,Yes,2.474653157134142,Y,Yes,2.1898138970373586,N,,,N,4,4,0.4444444444444444,1.0
2_60_1.75_150_10.csv,Y,Yes,2.432352545815442,Y,Yes,1.836316684713141,N,,,N,,,N,,,Y,Yes,2.488544887078935,Y,Yes,2.486980738460292,N,,,N,4,4,0.4444444444444444,1.0
