AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_0.75_50_4.csv,Y,Yes,0.5376326215342678,Y,Yes,0.5617977738203818,N,,,Y,Yes,1.9865672256169968,Y,No,0.09972536102402534,N,,,N,4,3,0.5714285714285714,0.75
2_60_1.25_50_8.csv,Y,No,0.48357747078432317,Y,Yes,0.6454077408624296,N,,,Y,Yes,2.2598715165527508,Y,No,-0.03612388062178298,N,,,N,4,2,0.5714285714285714,0.5
2_60_1.25_75_8.csv,Y,No,0.48357747078432317,Y,Yes,0.6454077408624296,N,,,Y,Yes,2.2598715165527508,Y,No,-0.03612388062178298,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_6.csv,Y,No,0.255975903392085,N,,,N,,,Y,Yes,2.8960221656973357,Y,No,-5.3189775308828926e-05,N,,,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1_50_8.csv,Y,No,0.27287657112432656,N,,,Y,Yes,1.3132299646290901,Y,Yes,2.516525911769091,Y,No,0.049766420615201576,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_10.csv,Y,No,0.2644671193730406,N,,,Y,Yes,1.3132311056155348,Y,Yes,2.5165237067788975,Y,No,0.04976641608556969,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_12.csv,Y,No,0.2644671193730406,N,,,Y,Yes,1.3132311056155348,Y,Yes,2.5165237067788975,Y,No,0.04976641608556969,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_14.csv,Y,No,0.2644671193730406,N,,,Y,Yes,1.3132311056155348,Y,Yes,2.5165237067788975,Y,No,0.04976641608556969,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_16.csv,Y,No,0.2644671193730406,N,,,Y,Yes,1.3132311056155348,Y,Yes,2.5165237067788975,Y,No,0.04976641608556969,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_18.csv,Y,No,0.2644671193730406,N,,,Y,Yes,1.3132311056155348,Y,Yes,2.5165237067788975,Y,No,0.04976641608556969,N,,,N,4,2,0.5714285714285714,0.5
2_40_1_50_20.csv,Y,No,0.2644671193730406,N,,,Y,Yes,1.3132311056155348,Y,Yes,2.5165237067788975,Y,No,0.04976641608556969,N,,,N,4,2,0.5714285714285714,0.5
2_20_2_50_4.csv,Y,No,0.11176305264975493,N,,,Y,No,-0.2917425800507806,N,,,Y,No,-0.5823208726520561,N,,,N,3,0,0.42857142857142855,0.0
2_60_1.25_150_8.csv,Y,Yes,0.5125708678811263,Y,Yes,0.8722123941970028,N,,,Y,Yes,1.6178302132739344,Y,No,0.03779338567184764,N,,,N,4,3,0.5714285714285714,0.75
2_60_1.25_175_8.csv,Y,Yes,0.5125708678811263,Y,Yes,0.8722123941970028,N,,,Y,Yes,1.7751990964955437,Y,No,-0.02329122431620394,N,,,N,4,3,0.5714285714285714,0.75
2_60_1.5_50_8.csv,Y,Yes,0.6813824168495477,Y,No,0.47648412435781995,N,,,Y,Yes,2.0428789754224677,Y,No,0.2756477879597139,N,,,N,4,2,0.5714285714285714,0.5
2_60_1.5_75_8.csv,Y,Yes,0.6813824168495477,Y,No,0.47648412435781995,N,,,Y,Yes,2.0428789754224677,Y,No,0.2756477879597139,N,,,N,4,2,0.5714285714285714,0.5
2_60_1.25_100_8.csv,Y,Yes,0.5172973688736051,N,,,N,,,Y,Yes,2.249019089689482,Y,No,0.007483418857029725,N,,,N,3,2,0.42857142857142855,0.6666666666666666
2_60_1.25_125_8.csv,Y,Yes,0.590829163251933,Y,Yes,0.6468865509300605,N,,,Y,Yes,1.592337161009235,Y,No,0.06963192938959706,N,,,N,4,3,0.5714285714285714,0.75
2_60_1.25_50_6.csv,Y,Yes,1.5209596072207534,Y,No,0.0787755825115432,N,,,Y,Yes,2.240711185680446,Y,No,-0.09910495084148573,N,,,N,4,2,0.5714285714285714,0.5
2_60_1.25_75_6.csv,Y,Yes,1.5209596072207534,Y,No,0.0787755825115432,N,,,Y,Yes,2.240711185680446,Y,No,-0.09910495084148573,N,,,N,4,2,0.5714285714285714,0.5
2_60_1.5_175_10.csv,Y,No,0.3955057654272778,Y,Yes,0.52520754744392,N,,,Y,Yes,2.2994674386219076,Y,No,0.24094336381041617,N,,,N,4,2,0.5714285714285714,0.5
2_60_1.5_50_10.csv,Y,Yes,0.5497107833410212,Y,Yes,0.555747201388439,N,,,Y,Yes,3.115239123660449,Y,No,0.27564787386636125,N,,,N,4,3,0.5714285714285714,0.75
2_60_1.5_75_10.csv,Y,Yes,0.5497107833410212,Y,Yes,0.555747201388439,N,,,Y,Yes,3.115239123660449,Y,No,0.27564787386636125,N,,,N,4,3,0.5714285714285714,0.75
1_20_2_150_10.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_12.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_14.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_16.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_18.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_20.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_4.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_6.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_150_8.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_10.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_12.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_14.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_16.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_18.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_20.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_4.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_6.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
1_20_2_175_8.csv,Y,No,0.09204252472678627,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_10.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_12.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_14.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_16.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_18.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_20.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
3_20_2_150_4.csv,Y,No,0.10091635247415714,N,,,N,,,N,,,N,,,N,,,N,1,0,0.14285714285714285,0.0
