AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_60_1.25_50_8.csv,Y,No,1.1433163855988049,Y,No,1.0903508231520416,N,,,Y,No,1.1127869393676397,N,3,0,0.6,0.0
2_60_1.25_75_8.csv,Y,No,1.1433163855988049,Y,No,1.0903508231520416,N,,,Y,No,1.1127869393676397,N,3,0,0.6,0.0
2_60_1.25_150_8.csv,Y,No,1.1486644055371098,Y,No,1.1140868893120284,N,,,Y,No,1.1351366493643742,N,3,0,0.6,0.0
2_60_1.25_175_8.csv,Y,No,1.1459721720195422,Y,No,1.1099950876019484,N,,,Y,No,1.1266165100301466,N,3,0,0.6,0.0
2_60_1.5_50_8.csv,Y,No,1.1497227332758577,Y,No,1.0916769604137229,N,,,Y,No,1.1837400136864358,N,3,0,0.6,0.0
2_60_1.5_75_8.csv,Y,No,1.1497227332758577,Y,No,1.0916769604137229,N,,,Y,No,1.1837400136864358,N,3,0,0.6,0.0
2_60_1.25_100_8.csv,Y,No,1.1417788410565353,Y,No,1.090064071353395,N,,,Y,No,1.1225075378202187,N,3,0,0.6,0.0
2_60_1.25_125_8.csv,Y,No,1.1434417083815442,Y,No,1.1055389239266806,N,,,Y,No,1.1340378284850956,N,3,0,0.6,0.0
2_60_1.25_50_6.csv,Y,No,1.1688836968140008,Y,No,1.0894962642604702,N,,,Y,No,1.1058753427583587,N,3,0,0.6,0.0
2_60_1.25_75_6.csv,Y,No,1.1688836968140008,Y,No,1.0894962642604702,N,,,Y,No,1.1058753427583587,N,3,0,0.6,0.0
2_60_1.5_175_10.csv,Y,No,1.150757932502943,Y,No,1.1001284045091773,N,,,Y,No,1.1753172596175743,N,3,0,0.6,0.0
2_40_0.75_50_4.csv,Y,No,1.159664882673851,Y,No,1.1322270742127853,N,,,Y,No,1.1749832644380362,N,3,0,0.6,0.0
1_20_2_150_10.csv,Y,Yes,1.5013577721391977,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_12.csv,Y,Yes,1.5013577721391977,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_14.csv,Y,Yes,1.5013577721391977,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_16.csv,Y,Yes,1.5013577721391977,N,,,N,,,N,,,N,1,1,0.2,1.0
