AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_60_1.25_50_8.csv,Y,Yes,3.9199837462410096,Y,Yes,1.5060814553433168,N,,,Y,No,1.3599234565766312,N,3,2,0.6,0.6666666666666666
2_60_1.25_75_8.csv,Y,Yes,3.9199837462410096,Y,Yes,1.5060814553433168,N,,,Y,No,1.3599234565766312,N,3,2,0.6,0.6666666666666666
2_60_1.25_150_8.csv,Y,Yes,3.7367095357678477,Y,Yes,2.0697298603518233,N,,,Y,Yes,2.0910246495160787,N,3,3,0.6,1.0
2_60_1.25_175_8.csv,Y,Yes,3.7367095357678477,Y,Yes,1.9239510213499078,N,,,Y,Yes,1.8753663994002936,N,3,3,0.6,1.0
2_60_1.5_50_8.csv,Y,Yes,3.996631496166197,Y,No,1.264779715188677,N,,,Y,Yes,4.0345493178623375,N,3,2,0.6,0.6666666666666666
2_60_1.5_75_8.csv,Y,Yes,3.996631496166197,Y,No,1.264779715188677,N,,,Y,Yes,4.0345493178623375,N,3,2,0.6,0.6666666666666666
2_60_1.25_100_8.csv,Y,Yes,3.0823679565963595,Y,No,1.4990723010804985,N,,,Y,Yes,1.6226572368431944,N,3,2,0.6,0.6666666666666666
2_60_1.25_125_8.csv,Y,Yes,3.2481864242901315,Y,Yes,2.0038000306490122,N,,,Y,Yes,2.067465907015144,N,3,3,0.6,1.0
2_60_1.25_50_6.csv,Y,Yes,3.7982495165745296,Y,No,1.0390643430524071,N,,,Y,No,1.1323401827104405,N,3,1,0.6,0.3333333333333333
2_60_1.25_75_6.csv,Y,Yes,3.7982495165745296,Y,No,1.0390643430524071,N,,,Y,No,1.1323401827104405,N,3,1,0.6,0.3333333333333333
2_60_1.5_175_10.csv,Y,Yes,3.8989625665769165,Y,Yes,1.5483762186782548,N,,,Y,Yes,3.690760199590201,N,3,3,0.6,1.0
2_40_0.75_50_4.csv,Y,Yes,3.1961414805685315,Y,Yes,2.867430483695508,N,,,Y,Yes,2.8838033326813584,N,3,3,0.6,1.0
1_20_2_150_10.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_12.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_14.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_16.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_18.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_20.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_4.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_6.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
1_20_2_150_8.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
3_20_2_150_10.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
3_20_2_150_12.csv,Y,Yes,3.4061891553657953,N,,,N,,,N,,,N,1,1,0.2,1.0
