AllPara,isExist1,Pass1,Score_1,isExist2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_1.75_50_6.csv,Y,No,-0.019973217618064847,N,N,,,N,,,Y,Yes,0.6796678874759051,Y,No,0.04874238647919989,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.75_75_6.csv,Y,No,-0.023035987069766017,N,N,,,N,,,Y,Yes,0.6341773495515864,Y,No,0.04224089123277315,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.75_75_4.csv,Y,No,-0.05717715643837432,N,N,,,N,,,Y,Yes,0.8282670558026288,Y,No,0.07709503364589652,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.75_50_4.csv,Y,No,-0.058471781271529015,N,N,,,N,,,Y,Yes,0.8677023357507686,Y,No,0.08860351662536843,N,3,1,0.42857142857142855,0.3333333333333333
2_40_2_50_6.csv,Y,No,-0.013286831668747105,N,N,,,N,,,Y,No,0.4874822265941274,Y,No,0.0008116135790579702,N,3,0,0.42857142857142855,0.0
2_40_1.75_50_8.csv,Y,No,-0.04773445192440373,N,N,,,N,,,Y,Yes,0.8538322285853294,Y,No,0.0273775792497782,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_75_14.csv,Y,No,-0.023372889110062193,N,N,,,N,,,Y,Yes,0.9009452998847435,Y,No,0.01816842412117592,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_75_16.csv,Y,No,-0.023372889110062193,N,N,,,N,,,Y,Yes,0.9009452998847435,Y,No,0.01816842412117592,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_75_18.csv,Y,No,-0.023372889110062193,N,N,,,N,,,Y,Yes,0.9009452998847435,Y,No,0.01816842412117592,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.5_75_20.csv,Y,No,-0.023372889110062193,N,N,,,N,,,Y,Yes,0.9009452998847435,Y,No,0.01816842412117592,N,3,1,0.42857142857142855,0.3333333333333333
2_40_1.75_75_8.csv,Y,No,-0.052864877588962474,N,N,,,N,,,Y,Yes,1.0327165829993377,Y,No,0.023478489480736227,N,3,1,0.42857142857142855,0.3333333333333333
