Symbol,Fullname
1101,1101台灣水泥股份有限公司
1102,1102亞洲水泥股份有限公司
1103,1103嘉新水泥股份有限公司
1104,1104環球水泥股份有限公司
1108,1108幸福水泥股份有限公司
1109,1109信大水泥股份有限公司
1110,1110東南水泥股份有限公司
1201,1201味全食品工業股份有限公司
1203,1203味王股份有限公司
1210,1210大成長城企業股份有限公司
1213,1213大西洋飲料股份有限公司
1215,1215台灣卜蜂企業股份有限公司
1216,1216統一企業股份有限公司
1217,1217愛之味股份有限公司
1218,1218泰山企業股份有限公司
1219,1219福壽實業股份有限公司
1220,1220台榮產業股份有限公司
1225,1225福懋油脂股份有限公司
1227,1227佳格食品股份有限公司
1229,1229聯華實業股份有限公司
1231,1231聯華食品工業股份有限公司
1232,1232大統益股份有限公司
1233,1233天仁茶業股份有限公司
1234,1234黑松股份有限公司
1235,1235興泰實業股份有限公司
1236,1236宏亞食品股份有限公司
1256,1256鮮活控股股份有限公司
1262,1262綠悅控股有限公司
1301,1301台灣塑膠工業股份有限公司
1303,1303南亞塑膠工業股份有限公司
1304,1304台灣聚合化學品股份有限公司
1305,1305華夏海灣塑膠股份有限公司
1307,1307三芳化學工業股份有限公司
1308,1308亞洲聚合股份有限公司
1309,1309台達化學工業股份有限公司
1310,1310台灣苯乙烯工業股份有限公司
1312,1312國喬石油化學股份有限公司
1313,1313聯成化學科技股份有限公司
1314,1314中國石油化學工業開發(股)公司
1315,1315達新工業股份有限公司
1316,1316上曜建設開發股份有限公司
1319,1319東陽實業廠股份有限公司
1321,1321大洋塑膠工業股份有限公司
1323,1323永裕塑膠工業股份有限公司
1324,1324地球綜合工業股份有限公司
1325,1325恒大股份有限公司
1326,1326台灣化學纖維股份有限公司
1337,1337亞洲塑膠再生資源控股有限公司
1338,1338廣華控股有限公司
1339,1339昭輝實業股份有限公司
1340,1340勝悅新材料有限公司
1402,1402遠東新世紀股份有限公司
1409,1409新光合成纖維股份有限公司
1410,1410南洋染整股份有限公司
1413,1413宏洲纖維工業股份有限公司
1414,1414東和紡織股份有限公司
1416,1416廣豐實業股份有限公司
1417,1417嘉裕股份有限公司
1418,1418東華合纖股份有限公司
1419,1419新光紡織股份有限公司
1423,1423利華羊毛工業股份有限公司
1432,1432大魯閣實業股份有限公司
1434,1434福懋興業股份有限公司
1435,1435中福國際(股)公司
1436,1436華友聯開發股份有限公司(原福益)
1437,1437勤益投資控股股份有限公司
1438,1438裕豐國際開發股份有限公司
1439,1439中和羊毛工業股份有限公司
1440,1440臺南紡織股份有限公司
1441,1441大東紡織股份有限公司
1442,1442名軒開發股份有限公司
1443,1443立益紡織股份有限公司
1444,1444力麗企業股份有限公司
1445,1445大宇紡織股份有限公司
1446,1446宏和精密紡織股份有限公司
1447,1447力鵬企業股份有限公司
1449,1449佳和實業股份有限公司
1451,1451年興紡織股份有限公司
1452,1452宏益纖維工業股份有限公司
1453,1453大將開發股份有限公司
1454,1454台灣富綢纖維股份有限公司
1455,1455集盛實業股份有限公司
1456,1456怡華實業股份有限公司
1457,1457宜進實業股份有限公司
1459,1459聯發紡織纖維股份有限公司
1460,1460宏遠興業股份有限公司
1463,1463強盛染整股份有限公司
1464,1464得力實業股份有限公司
1465,1465偉全實業股份有限公司
1466,1466聚隆纖維股份有限公司
1467,1467南緯實業股份有限公司
1468,1468昶和纖維興業股份有限公司
1469,1469理隆纖維工業股份有限公司
1470,1470大統精密染整股份有限公司
1471,1471首利實業股份有限公司
1472,1472三洋紡織纖維股份有限公司
1473,1473台南企業股份有限公司
1474,1474弘裕企業股份有限公司
1475,1475本盟光電股份有限公司
1476,1476儒鴻企業股份有限公司
1477,1477聚陽實業股份有限公司
1503,1503士林電機廠股份有限公司
1504,1504東元電機股份有限公司
1506,1506正道工業股份有限公司
1507,1507永大機電工業股份有限公司
1512,1512瑞利企業股份有限公司
1513,1513中興電工機械股份有限公司
1514,1514亞力電機股份有限公司
1515,1515力山工業股份有限公司
1516,1516川飛能源股份有限公司
1517,1517利奇機械工業股份有限公司
1519,1519華城電機股份有限公司
1521,1521大億交通工業製造股份有限公司
1522,1522堤維西交通工業股份有限公司
1524,1524耿鼎企業股份有限公司
1525,1525江申工業股份有限公司
1526,1526日馳企業股份有限公司
1527,1527鑽全實業股份有限公司
1528,1528恩德科技股份有限公司
1529,1529樂士股份有限公司
1530,1530亞崴機電股份有限公司
1531,1531高林股份有限公司
1532,1532勤美股份有限公司
1533,1533車王電子股份有限公司
1535,1535中宇環保工程股份有限公司
1536,1536和大工業股份有限公司
1537,1537廣隆光電科技股份有限公司
1538,1538正峰新能源股份有限公司
1539,1539巨庭機械股份有限公司
1540,1540喬福機械工業股份有限公司
1541,1541錩泰工業股份有限公司
1558,1558伸興工業股份有限公司
1560,1560中國砂輪企業股份有限公司
1568,1568倉佑實業股份有限公司
1582,1582信錦企業股份有限公司
1583,1583程泰機械股份有限公司
1587,1587吉茂精密股份有限公司
1589,1589永冠能源科技集團有限公司
1590,1590亞德客國際集團
1592,1592英瑞國際股份有限公司
1598,1598岱宇國際股份有限公司
1603,1603中華電線電纜股份有限公司
1604,1604聲寶股份有限公司
1605,1605華新麗華股份有限公司
1608,1608華榮電線電纜股份有限公司
1609,1609大亞電線電纜股份有限公司
1611,1611中國電器股份有限公司
1612,1612宏泰電工股份有限公司
1614,1614台灣三洋電機股份有限公司
1615,1615大山電線電纜股份有限公司
1616,1616億泰電線電纜股份有限公司
1617,1617榮星電線工業股份有限公司
1618,1618合機電線電纜股份有限公司
1626,1626艾美特(開曼)國際有限公司
1701,1701中國化學製藥股份有限公司
1702,1702南僑投資控股股份有限公司
1704,1704李長榮化學工業股份有限公司
1707,1707葡萄王生技股份有限公司
1708,1708東鹼股份有限公司
1709,1709和益化學工業股份有限公司
1710,1710東聯化學股份有限公司
1711,1711臺灣永光化學工業股份有限公司
1712,1712興農股份有限公司
1713,1713國泰化工廠股份有限公司
1714,1714和桐化學股份有限公司
1717,1717長興材料工業股份有限公司
1718,1718中國人造纖維股份有限公司
1720,1720生達化學製藥股份有限公司
1721,1721三晃股份有限公司
1722,1722台灣肥料股份有限公司
1723,1723中鋼碳素化學股份有限公司
1724,1724台硝股份有限公司
1725,1725元禎企業股份有限公司
1726,1726永記造漆工業股份有限公司
1727,1727臺灣中華化學工業股份有限公司
1730,1730花仙子企業股份有限公司
