靡ㄩ絏,るら,秨絃基(じ),程蔼基(じ),程基(じ),Μ絃基(じ),Θユ秖()
2356,2018/5/15,23,23.2,23,23.15,8728
2360,2018/5/15,172,172,165,165,1956
2376,2018/5/15,76.9,79.1,75.3,79.1,11424
2379,2018/5/15,116,118,115.5,117,1857
2377,2018/5/15,110,114,107.5,111.5,11709
2356,2018/5/14,23.15,23.2,23,23.05,6718
2360,2018/5/14,164.5,170,163.5,170,2619
2376,2018/5/14,77,78.5,74.5,77.5,13911
2379,2018/5/14,114,116.5,113.5,115.5,1236
2377,2018/5/14,106,112,103,110.5,13769
2356,2018/5/11,23.05,23.15,23,23.1,4408
2360,2018/5/11,164.5,167.5,161.5,163.5,2385
2376,2018/5/11,75,75.9,73.5,75.9,10349
2379,2018/5/11,112.5,114.5,112.5,113.5,1174
2377,2018/5/11,103,104,101,102.5,5465
2356,2018/5/10,22.8,23.05,22.75,23,8493
2360,2018/5/10,162.5,164,160.5,163.5,1576
2376,2018/5/10,73,77,72.6,76,19180
2379,2018/5/10,111.5,113.5,111,112,1878
2377,2018/5/10,103,106.5,101,103,12021
2356,2018/5/9,22.8,22.9,22.7,22.75,3711
2360,2018/5/9,153,162,152,158.5,2178
2376,2018/5/9,68.5,72.5,68.5,71.9,10973
2379,2018/5/9,110.5,112.5,110.5,111.5,1711
2377,2018/5/9,98.1,101.5,98.1,100,7160
2356,2018/5/8,22.5,22.9,22.5,22.9,6092
2360,2018/5/8,152.5,152.5,148,151.5,1913
2376,2018/5/8,71.8,72.2,69.6,69.6,5717
2379,2018/5/8,110,111,109.5,110.5,1780
2377,2018/5/8,100,101,97.7,98.4,4074
2356,2018/5/7,22.65,22.75,22.5,22.55,3830
2360,2018/5/7,152,156,151,153.5,1403
2376,2018/5/7,70,72.4,69.4,71.6,11802
2379,2018/5/7,111,112.5,110,110,1227
2377,2018/5/7,99.9,101,98.1,99.1,7304
2356,2018/5/4,22.4,22.8,22.4,22.65,5806
2360,2018/5/4,154,155.5,150,150,1504
2376,2018/5/4,67,69.3,65.9,69.3,10314
2379,2018/5/4,111,111.5,109.5,110,2014
2377,2018/5/4,97,98.9,95.9,97.4,6435
2356,2018/5/3,22.5,22.6,22.35,22.5,5910
2360,2018/5/3,157,158,152.5,153.5,1360
2376,2018/5/3,64.5,67.9,64.5,66.3,7879
2379,2018/5/3,112,113,110.5,112,1346
2377,2018/5/3,93.5,98.8,93.5,97,10033
2356,2018/5/2,22.5,22.8,22.5,22.8,6952
2360,2018/5/2,152,160,151,158.5,3820
2376,2018/5/2,65.8,66,64.6,64.7,3095
2379,2018/5/2,111.5,114,111,113,2341
2377,2018/5/2,93.8,94.9,92.9,94.1,3215
2356,2018/4/30,22.3,22.55,22.3,22.55,3139
2360,2018/4/30,154.5,155,149,150,3267
2376,2018/4/30,63.9,65.4,63.3,65.4,3104
2379,2018/4/30,109,113.5,107.5,113,4279
2377,2018/4/30,94.1,94.5,92.5,93.4,4006
2356,2018/4/27,22.35,22.45,22.25,22.4,3753
2360,2018/4/27,151,158.5,151,155.5,1429
2376,2018/4/27,64.3,64.6,63.1,63.9,3539
2379,2018/4/27,113,113.5,107.5,109.5,6118
