靡ㄩ絏,るら,秨絃基(じ),程蔼基(じ),程基(じ),Μ絃基(じ),Θユ秖(),,
2324,2018/5/29,19.95 ,20.15 ,19.90 ,20.05 ,6427.00 ,,
2324,2018/5/28,19.85 ,20.00 ,19.80 ,19.95 ,3015.00 ,,
2324,2018/5/25,19.80 ,19.95 ,19.80 ,19.80 ,4325.00 ,,
2324,2018/5/24,19.85 ,19.90 ,19.75 ,19.80 ,3944.00 ,,
2324,2018/5/23,19.85 ,19.95 ,19.80 ,19.80 ,4830.00 ,,
2324,2018/5/22,19.85 ,19.95 ,19.80 ,19.85 ,4591.00 ,,
2324,2018/5/21,19.80 ,20.05 ,19.80 ,19.90 ,4043.00 ,,
2324,2018/5/18,19.90 ,20.05 ,19.85 ,19.85 ,3691.00 ,,
2324,2018/5/17,20.10 ,20.10 ,19.85 ,19.85 ,5584.00 ,,
2324,2018/5/16,19.85 ,20.05 ,19.80 ,20.05 ,4944.00 ,,
2324,2018/5/15,19.95 ,20.05 ,19.80 ,19.95 ,7841.00 ,,
2324,2018/5/14,20.20 ,20.20 ,20.00 ,20.15 ,6710.00 ,,
2324,2018/5/11,19.95 ,20.25 ,19.90 ,20.20 ,15883.00 ,,
2324,2018/5/10,19.65 ,20.00 ,19.60 ,19.80 ,31140.00 ,,
2324,2018/5/9,19.30 ,19.45 ,19.20 ,19.35 ,7360.00 ,,
2324,2018/5/8,19.15 ,19.45 ,19.15 ,19.35 ,5864.00 ,,
2324,2018/5/7,19.30 ,19.35 ,19.10 ,19.15 ,4923.00 ,,
2324,2018/5/4,19.25 ,19.40 ,19.20 ,19.20 ,4793.00 ,,
2324,2018/5/3,19.40 ,19.50 ,19.25 ,19.25 ,9473.00 ,,
2324,2018/5/2,19.40 ,19.60 ,19.40 ,19.60 ,7564.00 ,,
2324,2018/4/30,19.50 ,19.60 ,19.40 ,19.40 ,13526.00 ,,
2324,2018/4/27,19.55 ,19.70 ,19.40 ,19.45 ,11125.00 ,,
2324,2018/4/26,19.70 ,19.70 ,19.50 ,19.55 ,12264.00 ,,
2324,2018/4/25,19.50 ,19.65 ,19.40 ,19.65 ,5728.00 ,,
2324,2018/4/24,19.70 ,19.75 ,19.50 ,19.55 ,9042.00 ,,
2324,2018/4/23,19.85 ,19.90 ,19.65 ,19.80 ,5028.00 ,,
2324,2018/4/20,19.70 ,19.90 ,19.65 ,19.90 ,7347.00 ,,
2324,2018/4/19,19.70 ,19.80 ,19.60 ,19.80 ,8121.00 ,,
2324,2018/4/18,19.70 ,19.70 ,19.55 ,19.55 ,5669.00 ,,
2324,2018/4/17,19.70 ,19.70 ,19.50 ,19.60 ,8613.00 ,,
2324,2018/4/16,19.85 ,19.95 ,19.65 ,19.70 ,7077.00 ,,
2324,2018/4/13,19.90 ,20.05 ,19.80 ,19.95 ,13478.00 ,,
2324,2018/4/12,19.60 ,19.65 ,19.50 ,19.50 ,11087.00 ,,
2324,2018/4/11,19.60 ,19.75 ,19.60 ,19.65 ,5429.00 ,,
2324,2018/4/10,19.50 ,19.70 ,19.50 ,19.55 ,10742.00 ,,
2324,2018/4/9,19.80 ,19.80 ,19.50 ,19.55 ,15430.00 ,,
2324,2018/4/3,19.85 ,19.90 ,19.80 ,19.80 ,9802.00 ,,
2324,2018/4/2,19.95 ,20.10 ,19.95 ,20.00 ,2119.00 ,,
2324,2018/3/31,19.85 ,19.95 ,19.85 ,19.95 ,1750.00 ,,
2324,2018/3/30,19.95 ,20.00 ,19.80 ,19.80 ,7151.00 ,,
2324,2018/3/29,19.95 ,20.05 ,19.85 ,19.85 ,6869.00 ,,
2324,2018/3/28,20.00 ,20.00 ,19.90 ,19.95 ,3435.00 ,,
2324,2018/3/27,20.10 ,20.15 ,20.00 ,20.05 ,4934.00 ,,
2324,2018/3/26,19.85 ,19.95 ,19.80 ,19.95 ,4494.00 ,,
2324,2018/3/23,19.70 ,19.90 ,19.65 ,19.90 ,11061.00 ,,
2324,2018/3/22,20.30 ,20.40 ,20.15 ,20.15 ,8860.00 ,,
2324,2018/3/21,20.25 ,20.35 ,20.20 ,20.25 ,7777.00 ,,
2324,2018/3/20,20.55 ,20.55 ,20.15 ,20.25 ,19842.00 ,,
2324,2018/3/19,20.90 ,20.95 ,20.75 ,20.95 ,5068.00 ,,
2324,2018/3/16,20.60 ,20.95 ,20.45 ,20.80 ,11612.00 ,,
2324,2018/3/15,20.75 ,20.75 ,20.60 ,20.60 ,5667.00 ,,
2324,2018/3/14,20.65 ,20.85 ,20.55 ,20.80 ,6070.00 ,,
2324,2018/3/13,20.65 ,20.70 ,20.50 ,20.70 ,5480.00 ,,
2324,2018/3/12,20.60 ,20.75 ,20.50 ,20.65 ,7103.00 ,,
2324,2018/3/9,20.40 ,20.60 ,20.30 ,20.40 ,6942.00 ,,
2324,2018/3/8,20.35 ,20.40 ,20.25 ,20.35 ,5183.00 ,,
2324,2018/3/7,20.20 ,20.35 ,20.15 ,20.30 ,8240.00 ,,
2324,2018/3/6,20.35 ,20.40 ,20.15 ,20.20 ,6367.00 ,,
2324,2018/3/5,20.05 ,20.20 ,20.00 ,20.10 ,6795.00 ,,
2324,2018/3/2,19.95 ,20.10 ,19.85 ,20.00 ,9914.00 ,,
2324,2018/3/1,20.10 ,20.25 ,19.90 ,20.25 ,10250.00 ,,
2324,2018/2/27,20.40 ,20.45 ,20.05 ,20.10 ,11271.00 ,,
2324,2018/2/26,20.50 ,20.50 ,20.10 ,20.15 ,6186.00 ,,
2324,2018/2/23,20.00 ,20.30 ,20.00 ,20.30 ,12719.00 ,,
2324,2018/2/22,20.10 ,20.15 ,19.80 ,19.80 ,16395.00 ,,
2324,2018/2/21,20.25 ,20.25 ,19.95 ,20.20 ,11811.00 ,,
2324,2018/2/12,20.00 ,20.05 ,19.75 ,19.75 ,7847.00 ,,
2324,2018/2/9,19.60 ,19.95 ,19.55 ,19.85 ,10341.00 ,,
2324,2018/2/8,20.10 ,20.25 ,19.95 ,19.95 ,9090.00 ,,
2324,2018/2/7,20.30 ,20.40 ,20.10 ,20.10 ,12131.00 ,,
2324,2018/2/6,20.50 ,20.50 ,19.60 ,19.80 ,27352.00 ,,
2324,2018/2/5,21.00 ,21.05 ,20.85 ,20.90 ,7848.00 ,,
2324,2018/2/2,21.30 ,21.60 ,21.30 ,21.40 ,7138.00 ,,
2324,2018/2/1,21.60 ,21.75 ,21.45 ,21.45 ,8476.00 ,,
2324,2018/1/31,21.25 ,21.75 ,21.20 ,21.70 ,12367.00 ,,
2324,2018/1/30,21.55 ,21.70 ,21.30 ,21.35 ,8088.00 ,,
2324,2018/1/29,21.80 ,21.85 ,21.50 ,21.70 ,8037.00 ,,
2324,2018/1/26,22.15 ,22.15 ,21.35 ,21.40 ,15328.00 ,,
2324,2018/1/25,20.95 ,21.80 ,20.95 ,21.80 ,34307.00 ,,
2324,2018/1/24,20.80 ,20.90 ,20.65 ,20.90 ,5650.00 ,,
2324,2018/1/23,20.80 ,20.85 ,20.65 ,20.85 ,6560.00 ,,
2324,2018/1/22,20.90 ,20.95 ,20.60 ,20.80 ,7762.00 ,,
2324,2018/1/19,20.80 ,20.95 ,20.80 ,20.95 ,8365.00 ,,
2324,2018/1/18,20.80 ,20.90 ,20.65 ,20.80 ,5562.00 ,,
2324,2018/1/17,20.60 ,20.80 ,20.45 ,20.80 ,8554.00 ,,
