靡ㄩ絏,るら,秨絃基(じ),程蔼基(じ),程基(じ),Μ絃基(じ),Θユ秖(),,,
1101,2018/5/29,44.00 ,44.00 ,42.95 ,43.40 ,20592.00 ,,,
2801,2018/5/29,17.70 ,17.80 ,17.70 ,17.80 ,9470.00 ,,,
1102,2018/5/29,33.50 ,33.50 ,32.60 ,32.85 ,5889.00 ,,,
1301,2018/5/29,109.50 ,110.00 ,109.00 ,110.00 ,6127.00 ,,,
1101,2018/5/28,44.20 ,44.30 ,43.85 ,43.95 ,18488.00 ,,,
2801,2018/5/28,17.75 ,17.80 ,17.70 ,17.80 ,7603.00 ,,,
1102,2018/5/28,33.55 ,33.85 ,33.15 ,33.50 ,4994.00 ,,,
1301,2018/5/28,108.50 ,110.00 ,108.50 ,110.00 ,6353.00 ,,,
1101,2018/5/25,45.10 ,45.10 ,43.90 ,43.90 ,18412.00 ,,,
2801,2018/5/25,17.75 ,17.80 ,17.70 ,17.75 ,8419.00 ,,,
1102,2018/5/25,33.95 ,33.95 ,33.30 ,33.55 ,3709.00 ,,,
1301,2018/5/25,110.00 ,111.00 ,108.50 ,108.50 ,6144.00 ,,,
1101,2018/5/24,44.60 ,44.75 ,43.80 ,44.75 ,17006.00 ,,,
2801,2018/5/24,17.75 ,17.80 ,17.70 ,17.75 ,5959.00 ,,,
1102,2018/5/24,33.90 ,34.25 ,33.50 ,33.85 ,4996.00 ,,,
1301,2018/5/24,110.50 ,111.00 ,109.00 ,111.00 ,4828.00 ,,,
1101,2018/5/23,45.65 ,45.70 ,43.70 ,44.10 ,24617.00 ,,,
2801,2018/5/23,17.70 ,17.80 ,17.65 ,17.75 ,9595.00 ,,,
1102,2018/5/23,34.35 ,34.60 ,33.45 ,33.65 ,7475.00 ,,,
1301,2018/5/23,110.00 ,111.00 ,108.50 ,110.00 ,5968.00 ,,,
1101,2018/5/22,46.00 ,46.05 ,45.35 ,45.60 ,13590.00 ,,,
2801,2018/5/22,17.60 ,17.75 ,17.60 ,17.70 ,13731.00 ,,,
1102,2018/5/22,35.30 ,35.40 ,33.00 ,34.30 ,7472.00 ,,,
1301,2018/5/22,112.00 ,112.50 ,109.50 ,109.50 ,8132.00 ,,,
1101,2018/5/21,46.00 ,46.35 ,45.40 ,46.00 ,19099.00 ,,,
2801,2018/5/21,17.40 ,17.60 ,17.40 ,17.60 ,8979.00 ,,,
1102,2018/5/21,35.40 ,35.75 ,34.85 ,35.25 ,8408.00 ,,,
1301,2018/5/21,112.00 ,113.00 ,111.50 ,112.50 ,5285.00 ,,,
1101,2018/5/18,46.00 ,46.15 ,45.10 ,45.55 ,22078.00 ,,,
2801,2018/5/18,17.35 ,17.45 ,17.35 ,17.40 ,6224.00 ,,,
1102,2018/5/18,34.40 ,35.20 ,34.10 ,35.05 ,12939.00 ,,,
1301,2018/5/18,112.00 ,113.50 ,111.50 ,112.00 ,7124.00 ,,,
1101,2018/5/17,46.35 ,46.40 ,45.50 ,45.65 ,27428.00 ,,,
2801,2018/5/17,17.40 ,17.40 ,17.30 ,17.35 ,4760.00 ,,,
1102,2018/5/17,33.90 ,34.25 ,33.50 ,34.10 ,12258.00 ,,,
1301,2018/5/17,111.50 ,113.50 ,110.50 ,111.50 ,8633.00 ,,,
1101,2018/5/16,46.90 ,47.30 ,44.85 ,45.90 ,60209.00 ,,,
2801,2018/5/16,17.30 ,17.40 ,17.30 ,17.40 ,9454.00 ,,,
1102,2018/5/16,34.00 ,34.60 ,33.35 ,33.75 ,15184.00 ,,,
