"Filename","Begin","End","Start_NetProfit","End_NetProfit","NetProfit","NetProfit_Percent","Number_of_Transactions","Window_GrossProfit","Window_GrossLoss","Window_Net","Window_MDD"
"2_40_1.5_200_6.csv","2008/1/2","2011/12/30","2821246.75","6285685.0","3464438.25","0.906625108677","11","23307453.297","-17270162.578","6037290.719","-1991989.0"
"2_40_1.5_225_6.csv","2008/1/2","2011/12/30","3209182.75","5899798.0","2690615.25","0.639225096606","11","22006397.751","-16481732.095","5524665.656","-1886483.0"
"2_40_1_225_4.csv","2008/1/2","2011/12/30","1149750.5","2013003.5","863253.0","0.401559622849","17","12487995.028","-10178632.653","2309362.375","-1161698.5"
"2_40_1_175_4.csv","2008/1/2","2011/12/30","1545953.0","2098888.0","552935.0","0.217181935409","17","12919807.476","-10662557.71","2257249.766","-1194812.625"
"2_40_1_200_4.csv","2008/1/2","2011/12/30","1247272.125","2149685.5","902413.375","0.401559457335","17","13079947.291","-10673162.447","2406784.844","-1214398.0"
"2_40_1_150_4.csv","2008/1/2","2011/12/30","1728631.375","2328471.25","599839.875","0.219831773722","16","14374565.92","-11957518.264","2417047.656","-1283331.0"
"2_40_1.25_225_6.csv","2008/1/2","2011/12/30","1673180.875","4217669.5","2544488.625","0.95185800886","14","17167608.659","-12861134.12","4306474.539","-1245629.25"
"2_40_1.25_200_6.csv","2008/1/2","2011/12/30","1475209.875","3077608.5","1602398.625","0.647378891457","15","13814057.642","-10580162.673","3233894.969","-973459.25"
"2_40_1.25_175_6.csv","2008/1/2","2011/12/30","1270459.75","2740307.75","1469848.0","0.647379016519","15","12671355.247","-9704968.809","2966386.438","-892934.5"
"2_40_2_225_6.csv","2008/1/2","2011/12/30","961796.5","2179715.0","1217918.5","0.620817959457","10","7705033.265","-5195946.452","2509086.813","-507514.0"
"2_40_1_225_6.csv","2008/1/2","2011/12/30","1091202.75","2431283.25","1340080.5","0.640818065106","15","14371130.762","-11661781.012","2709349.75","-1322971.5"
"2_40_1_125_4.csv","2008/1/2","2011/12/30","1652205.75","2275208.0","623002.25","0.234899667946","15","13709466.14","-11358547.906","2350918.234","-1262794.75"
"2_40_1_175_6.csv","2008/1/2","2011/12/30","1409942.5","2521883.5","1111941.0","0.461397315496","15","14675422.055","-11993809.789","2681612.266","-1357903.25"
"2_40_1_200_6.csv","2008/1/2","2011/12/30","1139621.5","2510729.75","1371108.25","0.640818130683","15","14729425.03","-11964714.108","2764710.922","-1353603.0"
"2_40_1_150_6.csv","2008/1/2","2011/12/30","1713790.25","2843950.75","1130160.5","0.416450939788","15","16457194.271","-13569312.775","2887881.496","-1482080.0"
"2_40_1_100_4.csv","2008/1/2","2011/12/30","2621027.25","3789734.25","1168707.0","0.322755648967","16","19526723.909","-16018280.534","3508443.375","-1846737.0"
"2_40_1.25_150_6.csv","2008/1/2","2011/12/30","2133784.75","3858336.75","1724552.0","0.550309653527","15","16730125.877","-12999296.611","3730829.266","-1159845.0"
"2_40_2_150_6.csv","2008/1/2","2011/12/30","2524430.75","4712460.5","2188029.75","0.620817915063","10","14481677.157","-10040914.907","4440762.25","-911765.5"
"2_40_1_75_4.csv","2008/1/2","2011/12/30","4020381.75","6665786.5","2645404.75","0.52693298672","20","31860174.939","-26006603.439","5853571.5","-2955632.5"
"2_40_1_50_4.csv","2008/1/2","2011/12/30","2482798.75","4463133.0","1980334.25","0.568604272641","21","23537303.184","-19332668.387","4204634.797","-2106374.5"
"2_40_1.5_50_6.csv","2008/1/2","2011/12/30","8490485.0","17509754.0","9019269.0","0.950348585978","13","63218786.0","-48149745.0","15069041.0","-5060778.0"
"2_40_1.25_50_6.csv","2008/1/2","2011/12/30","4834171.0","8758023.0","3923852.0","0.672563762701","19","36690105.125","-29054581.375","7635523.75","-2329563.0"
"2_40_1.5_75_6.csv","2008/1/2","2011/12/30","10399102.0","22068500.0","11669398.0","1.02371204328","12","77443112.25","-58528857.0","18914255.25","-6307192.0"
"2_40_1.5_175_6.csv","2008/1/2","2011/12/30","4263575.0","9035664.0","4772089.0","0.906625059964","11","32286561.123","-24179011.873","8107549.25","-2743865.0"
"2_40_2_200_6.csv","2008/1/2","2011/12/30","1131121.875","2454161.0","1323039.125","0.620818143026","10","8323354.634","-5651487.228","2671867.406","-551318.5"
"2_40_1_125_6.csv","2008/1/2","2011/12/30","1701175.25","2873343.5","1172168.25","0.433947501185","14","16144462.954","-13263987.091","2880475.863","-1493413.25"
"2_40_1.25_225_4.csv","2008/1/2","2011/12/30","1643081.375","3492000.75","1848919.375","0.699531763376","15","14895934.796","-11386851.448","3509083.348","-914940.0"
